"","id","dam","sire","absLLRtotal","Fertilization_pairs","loci"
"11","adapter_trim.F2-J126-pH8.bam","adapter_trim.F1-B20-pH8.bam","adapter_trim.F1-B10-pH8.bam",1.01,TRUE,"CM084272_1_1308664.1, CM084265_1_71796317.0, CM084276_1_1856066.1, CM084279_1_31409037.0, CM084266_1_70181797.0, CM084274_1_4709093.1, CM084276_1_20157216.1, CM084269_1_45238254.1, CM084264_1_72075479.0, CM084271_1_289999.1, CM084272_1_1883067.1, CM084265_1_72368172.1, CM084270_1_32126729.0, CM084268_1_9292474.1, CM084265_1_65233046.0, CM084264_1_73931173.1, CM084276_1_38558658.0, CM084274_1_4863726.0, CM084269_1_43524104.1, CM084265_1_791030.1, CM084274_1_4709650.1, CM084273_1_10424351.1, CM084272_1_1883067.1, CM084264_1_8099092.1, CM084269_1_35627219.1, CM084266_1_65580309.0, CM084269_1_15809957.0, CM084279_1_28791311.0, CM084264_1_66439654.0, CM084277_1_29781980.1"
"12","adapter_trim.F2-B16-pH8.bam","adapter_trim.F1-B25-pH8.bam","adapter_trim.F1-B11-pH8.bam",0.68,FALSE,"CM084275_1_39394528.1, CM084265_1_71831292.0, CM084269_1_40338566.0, CM084268_1_50681648.1, CM084264_1_74191573.0, CM084276_1_38559639.1, CM084277_1_28144351.0, CM084269_1_43525116.1, CM084277_1_1868381.1, CM084266_1_23321836.0, CM084266_1_68200825.1, CM084275_1_35722063.1, CM084270_1_1559641.0, CM084276_1_25809477.1, CM084268_1_3699577.1, CM084279_1_32652116.1, CM084272_1_43469474.0, CM084278_1_15228737.1, CM084275_1_39502454.1, CM084274_1_4694202.1, CM084266_1_71160169.0, CM084268_1_18519471.0, CM084265_1_8361562.0, CM084276_1_1856066.1, CM084264_1_70182851.0, CM084275_1_25393416.1, CM084266_1_62468799.0, CM084271_1_44070252.1, CM084275_1_529161.0, CM084264_1_72011634.1"
"13","adapter_trim.F2-J86-pH8.bam","adapter_trim.F1-B21-pH8.bam","adapter_trim.F1-B3-pH8.bam",0.81,FALSE,"CM084272_1_1311984.0, CM084264_1_2737868.1, CM084264_1_68688357.1, CM084272_1_1894347.0, CM084266_1_57888961.0, CM084271_1_43868189.1, CM084274_1_4864709.0, CM084266_1_65993526.0, CM084267_1_699277.0, CM084278_1_22664889.0, CM084276_1_38772810.1, CM084269_1_45420488.0, CM084270_1_42345710.0, CM084275_1_524597.0, CM084276_1_7202888.0, CM084264_1_73926177.1, CM084271_1_19655820.0, CM084269_1_4636404.1, CM084277_1_5803945.0, CM084273_1_32698908.0, CM084270_1_32126731.1, CM084275_1_39776618.0, CM084265_1_70607188.0, CM084274_1_4869825.1, CM084275_1_25395524.0, CM084269_1_41809356.1, CM084265_1_59221281.1, CM084275_1_39780930.1, CM084264_1_2740173.1, CM084273_1_31863691.0"
"14","adapter_trim.F2-B11-pH8.bam","adapter_trim.F1-B21-pH8.bam","adapter_trim.F1-B3-pH8.bam",0.96,FALSE,"CM084278_1_22667323.1, CM084264_1_8112672.0, CM084268_1_49719731.1, CM084276_1_2857930.1, CM084271_1_1033797.0, CM084264_1_70456944.0, CM084273_1_7839325.0, CM084278_1_25832327.0, CM084274_1_4778592.0, CM084274_1_4864682.0, CM084269_1_42862775.0, CM084274_1_4778609.1, CM084266_1_69052083.0, CM084271_1_43934411.1, CM084270_1_47077551.1, CM084274_1_43102349.1, CM084276_1_12392691.1, CM084269_1_39737118.1, CM084276_1_37352348.1, CM084264_1_6990362.1, CM084264_1_70185106.0, CM084264_1_26771545.1, CM084279_1_31409052.0, CM084274_1_42855653.1, CM084269_1_15798363.0, CM084275_1_38169321.1, CM084278_1_15228710.1, CM084278_1_20679238.1, CM084265_1_72636296.1, CM084265_1_70979994.1"
"15","adapter_trim.F2-J105-pH8.bam","adapter_trim.F1-B8-pH8.bam","adapter_trim.F1-B3-pH8.bam",0.72,FALSE,"CM084268_1_50321855.0, CM084264_1_73309406.0, CM084270_1_4751873.0, CM084265_1_71794141.1, CM084269_1_15798323.1, CM084267_1_2653040.0, CM084265_1_64585921.0, CM084266_1_1233079.1, CM084266_1_67235326.1, CM084264_1_34294469.0, CM084274_1_4793087.1, CM084277_1_29208305.0, CM084266_1_69806306.0, CM084266_1_68320536.1, CM084276_1_38960928.0, CM084272_1_33503448.0, CM084276_1_38558585.1, CM084274_1_4730026.0, CM084276_1_38772805.0, CM084272_1_1894337.0, CM084271_1_342830.0, CM084278_1_20623588.1, CM084264_1_66439628.1, CM084271_1_43849282.1, CM084275_1_8878521.0, CM084268_1_276461.0, CM084274_1_4695098.0, CM084269_1_1555101.1, CM084269_1_42862718.0, CM084266_1_71149023.1"
"16","adapter_trim.F2-B3-pH8.bam","adapter_trim.F1-B8-pH8.bam","adapter_trim.F1-B4-pH8.bam",0.75,TRUE,"CM084265_1_70595162.1, CM084264_1_8099096.1, CM084268_1_2720940.1, CM084269_1_43528587.1, CM084272_1_1894276.0, CM084276_1_11709759.0, CM084268_1_3691150.1, CM084267_1_3748455.1, CM084264_1_69861978.0, CM084272_1_33607000.1, CM084267_1_6420915.1, CM084271_1_379038.0, CM084274_1_4695002.0, CM084264_1_74989689.0, CM084276_1_38785504.1, CM084266_1_70396245.0, CM084264_1_69294926.1, CM084273_1_31863792.0, CM084269_1_46688879.0, CM084271_1_3821269.0, CM084264_1_70466152.0, CM084269_1_15806965.1, CM084264_1_68688988.0, CM084274_1_4862958.0, CM084271_1_39685141.1, CM084271_1_44104300.1, CM084270_1_46590815.1, CM084274_1_3692513.1, CM084265_1_64586069.0, CM084268_1_28855779.1"
"17","adapter_trim.F2-B1-pH8.bam","adapter_trim.F1-B25-pH8.bam","adapter_trim.F1-B5-pH8.bam",0.73,TRUE,"CM084268_1_22932625.1, CM084274_1_4694254.1, CM084269_1_15799403.1, CM084275_1_120808.1, CM084266_1_66483893.0, CM084277_1_30027539.0, CM084267_1_51248426.1, CM084269_1_45438488.1, CM084264_1_61167189.1, CM084276_1_38552579.1, CM084265_1_71265328.0, CM084268_1_28845513.0, CM084267_1_832141.0, CM084271_1_37244938.0, CM084269_1_40338566.0, CM084269_1_43525146.0, CM084270_1_12307511.1, CM084271_1_30532401.1, CM084274_1_4694239.1, CM084272_1_1307854.0, CM084273_1_31864421.0, CM084267_1_8118540.1, CM084269_1_35642171.1, CM084271_1_379011.1, CM084267_1_6421243.0, CM084278_1_16774412.0, CM084266_1_69625503.0, CM084273_1_42252907.0, CM084270_1_46588162.1, CM084266_1_68515581.1"
"18","adapter_trim.F2-J84-pH8.bam","adapter_trim.F1-B25-pH8.bam","adapter_trim.F1-B5-pH8.bam",0.79,TRUE,"CM084266_1_57884809.0, CM084274_1_4723647.1, CM084277_1_29780894.1, CM084276_1_25807604.0, CM084267_1_2163704.0, CM084275_1_667184.1, CM084265_1_66146092.0, CM084279_1_10151201.0, CM084264_1_70456947.1, CM084275_1_35722074.0, CM084268_1_50679518.1, CM084278_1_16767353.0, CM084278_1_15228710.1, CM084265_1_69007607.0, CM084264_1_70355057.1, CM084265_1_46089269.0, CM084278_1_20689098.0, CM084266_1_68320526.1, CM084269_1_4635012.1, CM084276_1_38788200.0, CM084275_1_38995254.1, CM084274_1_4686930.0, CM084276_1_38117392.1, CM084268_1_3699577.1, CM084273_1_31862042.1, CM084275_1_39780930.1, CM084266_1_69141202.1, CM084279_1_32673936.0, CM084279_1_33014997.0, CM084271_1_26325716.0"
"19","adapter_trim.F2-J108-pH8.bam","adapter_trim.F1-B20-pH8.bam","adapter_trim.F1-B5-pH8.bam",1.08,FALSE,"CM084275_1_39502397.0, CM084271_1_43817223.0, CM084276_1_37352348.0, CM084274_1_42855653.0, CM084270_1_8444546.0, CM084271_1_346606.0, CM084264_1_26773648.0, CM084276_1_38072623.0, CM084264_1_69294926.0, CM084266_1_66377784.1, CM084275_1_23083657.0, CM084275_1_4345708.0, CM084266_1_64164374.1, CM084276_1_38558603.0, CM084266_1_65347078.1, CM084275_1_25388529.1, CM084275_1_36059252.1, CM084264_1_73291504.0, CM084279_1_10150670.1, CM084277_1_10628755.0, CM084278_1_20867809.1, CM084268_1_28855770.1, CM084269_1_1558052.0, CM084268_1_4550920.1, CM084272_1_1596808.1, CM084272_1_43331300.1, CM084264_1_34294660.1, CM084266_1_57886823.0, CM084276_1_37916914.0, CM084274_1_4695106.0"
"20","adapter_trim.F2-B8-pH8.bam","adapter_trim.F1-B15-pH8.bam","adapter_trim.F1-B5-pH8.bam",0.95,FALSE,"CM084264_1_70174663.1, CM084276_1_1856653.0, CM084273_1_31862787.1, CM084275_1_39338236.0, CM084278_1_23541019.0, CM084278_1_20630020.0, CM084275_1_25393416.1, CM084265_1_68806446.1, CM084275_1_23083657.1, CM084272_1_33589893.1, CM084274_1_4869825.0, CM084264_1_72054055.1, CM084278_1_24948349.0, CM084264_1_34301630.1, CM084269_1_43525133.1, CM084265_1_61648602.1, CM084272_1_33571757.0, CM084267_1_6421632.1, CM084271_1_37237146.1, CM084269_1_43525348.1, CM084268_1_22932625.0, CM084268_1_50225492.1, CM084267_1_5952857.1, CM084274_1_4795058.1, CM084264_1_34294487.0, CM084265_1_71796271.0, CM084272_1_1308695.0, CM084276_1_1625292.1, CM084271_1_43868149.1, CM084268_1_298790.0"
