"","id","loci","n.loci","dam","LLRdam","sire","LLRsire","absLLRtotal"
"11","adapter_trim.F2-J126-pH8.bam","CM084275_1_39502397.0, CM084271_1_43817223.0, CM084276_1_37352348.0, CM084274_1_42855653.0, CM084270_1_8444546.0, CM084271_1_346606.0, CM084264_1_26773648.0, CM084276_1_38072623.0, CM084264_1_69294926.0, CM084266_1_66377784.1, CM084275_1_23083657.0, CM084275_1_4345708.0, CM084266_1_64164374.1, CM084276_1_38558603.0, CM084266_1_65347078.1, CM084275_1_25388529.1, CM084275_1_36059252.1, CM084264_1_73291504.0, CM084279_1_10150670.1, CM084277_1_10628755.0, CM084278_1_20867809.1, CM084268_1_28855770.1, CM084269_1_1558052.0, CM084268_1_4550920.1, CM084272_1_1596808.1, CM084272_1_43331300.1, CM084264_1_34294660.1, CM084266_1_57886823.0, CM084276_1_37916914.0, CM084274_1_4695106.0",30,"adapter_trim.F1-B20-pH8.bam",-0.24,"adapter_trim.F1-B5-pH8.bam",-0.25,0.49
"12","adapter_trim.F2-J146-pH8.bam","CM084276_1_12385340.0, CM084277_1_29782026.1, CM084276_1_37353154.0, CM084278_1_5144637.0, CM084274_1_4792351.1, CM084269_1_46694331.1, CM084266_1_70706207.1, CM084264_1_73311139.1, CM084276_1_38072639.1, CM084268_1_43541.0, CM084265_1_60316158.1, CM084272_1_43331300.1, CM084270_1_11478201.0, CM084265_1_58036225.1, CM084279_1_1060874.0, CM084272_1_18188792.0, CM084269_1_1556935.1, CM084279_1_23112955.1, CM084268_1_50225502.0, CM084266_1_58111750.0, CM084265_1_59221383.0, CM084266_1_58086170.1, CM084271_1_44090335.1, CM084265_1_70577871.1, CM084266_1_64723817.0, CM084267_1_3748455.1, CM084271_1_19655226.1, CM084274_1_4863343.1, CM084269_1_1544562.1, CM084269_1_15798363.0",30,"adapter_trim.F1-B20-pH8.bam",0.1,"adapter_trim.F1-B9-pH8.bam",0.05,0.15
"13","adapter_trim.F2-J105-pH8.bam","CM084271_1_43920589.1, CM084275_1_25396988.1, CM084272_1_33515302.0, CM084278_1_22667296.0, CM084265_1_68786095.1, CM084276_1_38558604.0, CM084269_1_4636406.1, CM084279_1_1072380.0, CM084271_1_30532473.0, CM084272_1_33503448.1, CM084274_1_3691747.1, CM084271_1_39686056.0, CM084266_1_64725838.0, CM084271_1_43851366.1, CM084270_1_15641795.1, CM084273_1_7839386.0, CM084264_1_72117233.0, CM084266_1_64725871.0, CM084271_1_43920589.1, CM084274_1_4785921.0, CM084271_1_44066688.1, CM084267_1_51346515.1, CM084271_1_44083919.1, CM084272_1_33454573.0, CM084271_1_43849246.0, CM084278_1_23540735.1, CM084268_1_45604.0, CM084266_1_63167162.0, CM084269_1_12905597.1, CM084268_1_2832742.0",30,"adapter_trim.F1-B8-pH8.bam",-0.09,"adapter_trim.F1-B10-pH8.bam",-0.21,0.3
"14","adapter_trim.F2-J126-pH8.bam","CM084271_1_43920589.1, CM084275_1_25396988.1, CM084272_1_33515302.0, CM084278_1_22667296.0, CM084265_1_68786095.1, CM084276_1_38558604.0, CM084269_1_4636406.1, CM084279_1_1072380.0, CM084271_1_30532473.0, CM084272_1_33503448.1, CM084274_1_3691747.1, CM084271_1_39686056.0, CM084266_1_64725838.0, CM084271_1_43851366.1, CM084270_1_15641795.1, CM084273_1_7839386.0, CM084264_1_72117233.0, CM084266_1_64725871.0, CM084271_1_43920589.1, CM084274_1_4785921.0, CM084271_1_44066688.1, CM084267_1_51346515.1, CM084271_1_44083919.1, CM084272_1_33454573.0, CM084271_1_43849246.0, CM084278_1_23540735.1, CM084268_1_45604.0, CM084266_1_63167162.0, CM084269_1_12905597.1, CM084268_1_2832742.0",30,"adapter_trim.F1-B25-pH8.bam",-0.27,"adapter_trim.F1-B11-pH8.bam",0,0.27
"15","adapter_trim.F2-J142-pH8.bam","CM084271_1_43920589.1, CM084275_1_25396988.1, CM084272_1_33515302.0, CM084278_1_22667296.0, CM084265_1_68786095.1, CM084276_1_38558604.0, CM084269_1_4636406.1, CM084279_1_1072380.0, CM084271_1_30532473.0, CM084272_1_33503448.1, CM084274_1_3691747.1, CM084271_1_39686056.0, CM084266_1_64725838.0, CM084271_1_43851366.1, CM084270_1_15641795.1, CM084273_1_7839386.0, CM084264_1_72117233.0, CM084266_1_64725871.0, CM084271_1_43920589.1, CM084274_1_4785921.0, CM084271_1_44066688.1, CM084267_1_51346515.1, CM084271_1_44083919.1, CM084272_1_33454573.0, CM084271_1_43849246.0, CM084278_1_23540735.1, CM084268_1_45604.0, CM084266_1_63167162.0, CM084269_1_12905597.1, CM084268_1_2832742.0",30,"adapter_trim.F1-B20-pH8.bam",0.04,"adapter_trim.F1-B8-pH8.bam",-0.11,0.15
"16","adapter_trim.F2-J145-pH8.bam","CM084271_1_43920589.1, CM084275_1_25396988.1, CM084272_1_33515302.0, CM084278_1_22667296.0, CM084265_1_68786095.1, CM084276_1_38558604.0, CM084269_1_4636406.1, CM084279_1_1072380.0, CM084271_1_30532473.0, CM084272_1_33503448.1, CM084274_1_3691747.1, CM084271_1_39686056.0, CM084266_1_64725838.0, CM084271_1_43851366.1, CM084270_1_15641795.1, CM084273_1_7839386.0, CM084264_1_72117233.0, CM084266_1_64725871.0, CM084271_1_43920589.1, CM084274_1_4785921.0, CM084271_1_44066688.1, CM084267_1_51346515.1, CM084271_1_44083919.1, CM084272_1_33454573.0, CM084271_1_43849246.0, CM084278_1_23540735.1, CM084268_1_45604.0, CM084266_1_63167162.0, CM084269_1_12905597.1, CM084268_1_2832742.0",30,"adapter_trim.F1-B21-pH8.bam",-0.1,"adapter_trim.F1-B7-pH8.bam",-0.31,0.41
"17","adapter_trim.F2-J85-pH8.bam","CM084271_1_43920589.1, CM084275_1_25396988.1, CM084272_1_33515302.0, CM084278_1_22667296.0, CM084265_1_68786095.1, CM084276_1_38558604.0, CM084269_1_4636406.1, CM084279_1_1072380.0, CM084271_1_30532473.0, CM084272_1_33503448.1, CM084274_1_3691747.1, CM084271_1_39686056.0, CM084266_1_64725838.0, CM084271_1_43851366.1, CM084270_1_15641795.1, CM084273_1_7839386.0, CM084264_1_72117233.0, CM084266_1_64725871.0, CM084271_1_43920589.1, CM084274_1_4785921.0, CM084271_1_44066688.1, CM084267_1_51346515.1, CM084271_1_44083919.1, CM084272_1_33454573.0, CM084271_1_43849246.0, CM084278_1_23540735.1, CM084268_1_45604.0, CM084266_1_63167162.0, CM084269_1_12905597.1, CM084268_1_2832742.0",30,"adapter_trim.F1-B25-pH8.bam",-0.35,"adapter_trim.F1-B3-pH8.bam",-0.07,0.42
"18","adapter_trim.F2-B11-pH8.bam","CM084271_1_43920589.1, CM084275_1_25396988.1, CM084272_1_33515302.0, CM084278_1_22667296.0, CM084265_1_68786095.1, CM084276_1_38558604.0, CM084269_1_4636406.1, CM084279_1_1072380.0, CM084271_1_30532473.0, CM084272_1_33503448.1, CM084274_1_3691747.1, CM084271_1_39686056.0, CM084266_1_64725838.0, CM084271_1_43851366.1, CM084270_1_15641795.1, CM084273_1_7839386.0, CM084264_1_72117233.0, CM084266_1_64725871.0, CM084271_1_43920589.1, CM084274_1_4785921.0, CM084271_1_44066688.1, CM084267_1_51346515.1, CM084271_1_44083919.1, CM084272_1_33454573.0, CM084271_1_43849246.0, CM084278_1_23540735.1, CM084268_1_45604.0, CM084266_1_63167162.0, CM084269_1_12905597.1, CM084268_1_2832742.0",30,"adapter_trim.F1-B25-pH8.bam",-0.14,"adapter_trim.F1-B8-pH8.bam",-0.03,0.17
"19","adapter_trim.F2-J141-pH8.bam","CM084275_1_39491725.1, CM084274_1_5046195.1, CM084264_1_74989689.0, CM084274_1_3691337.0, CM084277_1_30953033.1, CM084276_1_771542.0, CM084277_1_31296172.1, CM084271_1_43849246.0, CM084273_1_31862312.1, CM084276_1_1856066.1, CM084271_1_44090302.1, CM084268_1_3261991.1, CM084279_1_31409052.1, CM084265_1_59221229.0, CM084268_1_82245.1, CM084266_1_71160169.0, CM084265_1_64735174.1, CM084264_1_70466152.1, CM084266_1_71166448.0, CM084267_1_700054.0, CM084274_1_4694967.1, CM084268_1_3691150.0, CM084268_1_50679570.0, CM084275_1_327936.1, CM084269_1_43528550.0, CM084266_1_68883042.0, CM084275_1_25393416.0, CM084267_1_4505260.0, CM084265_1_64765147.0, CM084267_1_50993981.1",30,"adapter_trim.F1-B21-pH8.bam",-0.16,"adapter_trim.F1-B3-pH8.bam",-0.06,0.22
"20","adapter_trim.F2-B5-pH8.bam","CM084275_1_39491725.1, CM084274_1_5046195.1, CM084264_1_74989689.0, CM084274_1_3691337.0, CM084277_1_30953033.1, CM084276_1_771542.0, CM084277_1_31296172.1, CM084271_1_43849246.0, CM084273_1_31862312.1, CM084276_1_1856066.1, CM084271_1_44090302.1, CM084268_1_3261991.1, CM084279_1_31409052.1, CM084265_1_59221229.0, CM084268_1_82245.1, CM084266_1_71160169.0, CM084265_1_64735174.1, CM084264_1_70466152.1, CM084266_1_71166448.0, CM084267_1_700054.0, CM084274_1_4694967.1, CM084268_1_3691150.0, CM084268_1_50679570.0, CM084275_1_327936.1, CM084269_1_43528550.0, CM084266_1_68883042.0, CM084275_1_25393416.0, CM084267_1_4505260.0, CM084265_1_64765147.0, CM084267_1_50993981.1",30,"adapter_trim.F1-B15-pH8.bam",-0.32,"adapter_trim.F1-B3-pH8.bam",-0.42,0.74
