"","id","dam","sire","absLLRtotal","dam.batch","sire.batch","Fertilization_pairs","loci"
"11","adapter_trim.F2-B14-pH75.bam","adapter_trim.F1-B11-pH75.bam","adapter_trim.F1-B1-pH75.bam",0.66,"2, 4","1, 4",TRUE,"CM084272_1_41046375.0, CM084269_1_35627100.0, CM084275_1_327443.0, CM084271_1_257149.0, CM084271_1_274110.0, CM084265_1_59221220.1, CM084264_1_6151081.1, CM084270_1_42345710.0, CM084272_1_18188802.1, CM084276_1_38489687.1, CM084269_1_45438488.1, CM084268_1_50739238.1, CM084278_1_23536960.1, CM084276_1_2855799.1, CM084265_1_72368258.0, CM084278_1_279490.1, CM084271_1_43817237.0, CM084274_1_4862784.0, CM084267_1_6420851.1, CM084264_1_72075479.0, CM084264_1_48147317.0, CM084265_1_65204740.0, CM084265_1_64586071.0, CM084266_1_23295918.0, CM084275_1_25397333.1, CM084274_1_4709089.0, CM084266_1_70400231.1, CM084267_1_48167440.1, CM084276_1_38961028.1, CM084274_1_11694583.0, CM084269_1_4628634.0, CM084265_1_1118701.1, CM084278_1_8558512.0, CM084264_1_69861955.0, CM084266_1_71166448.0"
"12","adapter_trim.F2-J51-pH75.bam","adapter_trim.F1-B6-pH75.bam","adapter_trim.F1-B1-pH75.bam",1.35,"1, 4","1, 4",TRUE,"CM084275_1_39500153.1, CM084271_1_1034868.0, CM084265_1_61648709.1, CM084267_1_9176045.1, CM084269_1_15798323.0, CM084268_1_2713891.1, CM084275_1_29098877.1, CM084270_1_42355534.1, CM084276_1_25807604.0, CM084269_1_43529904.0, CM084269_1_15813150.1, CM084265_1_73061282.1, CM084264_1_8112731.0, CM084275_1_327919.1, CM084271_1_44075852.0, CM084273_1_37927756.0, CM084269_1_4625303.1, CM084265_1_58036330.1, CM084264_1_69863993.0, CM084271_1_1052216.0, CM084275_1_20000958.1, CM084268_1_37774069.1, CM084269_1_15798267.1, CM084275_1_1304702.0, CM084276_1_38775936.1, CM084268_1_3261991.1, CM084275_1_400262.0, CM084274_1_4694855.1, CM084271_1_43849246.1, CM084271_1_257149.0, CM084267_1_5881751.0, CM084265_1_71827765.0, CM084277_1_29782029.1, CM084274_1_11694583.0, CM084268_1_49721842.0"
"13","adapter_trim.F2-B17-pH75.bam","adapter_trim.F1-B21-pH75.bam","adapter_trim.F1-B1-pH75.bam",1.08,"1","1, 4",TRUE,"CM084272_1_1891482.1, CM084265_1_73060812.0, CM084267_1_48167385.0, CM084271_1_289999.1, CM084274_1_4793177.1, CM084276_1_20157233.0, CM084265_1_14403558.0, CM084265_1_791030.1, CM084264_1_71718001.0, CM084268_1_3704020.0, CM084275_1_1304748.1, CM084274_1_4708033.0, CM084271_1_1052216.1, CM084269_1_1556935.1, CM084268_1_3699581.0, CM084270_1_10496921.0, CM084271_1_337313.0, CM084274_1_4788661.1, CM084279_1_33014997.1, CM084278_1_20630020.0, CM084270_1_9411945.0, CM084276_1_60278.0, CM084268_1_45628.1, CM084269_1_43524676.1, CM084271_1_10303572.0, CM084268_1_50681546.1, CM084268_1_42010.0, CM084264_1_34300372.0, CM084269_1_1558064.1, CM084274_1_4694855.0, CM084274_1_34977132.1, CM084266_1_68960407.1, CM084269_1_40338578.1, CM084272_1_1894332.0, CM084272_1_33453681.1"
"14","adapter_trim.F2-B11-pH75.bam","adapter_trim.F1-B21-pH75.bam","adapter_trim.F1-B14-pH75.bam",0.73,"1","1, 4",TRUE,"CM084277_1_30631457.0, CM084265_1_24898734.0, CM084278_1_20742383.0, CM084277_1_4875899.0, CM084265_1_73059931.0, CM084275_1_529161.0, CM084274_1_6125560.1, CM084268_1_49721922.1, CM084264_1_73291573.1, CM084273_1_214007.1, CM084269_1_4635012.0, CM084278_1_8558566.1, CM084267_1_52776062.0, CM084268_1_22932621.0, CM084271_1_44073407.1, CM084273_1_31865682.1, CM084265_1_8362505.0, CM084269_1_40336207.1, CM084271_1_4574012.1, CM084272_1_25266666.0, CM084275_1_39394528.1, CM084266_1_64164374.1, CM084264_1_70355052.0, CM084265_1_72636291.0, CM084270_1_8444534.0, CM084274_1_4869968.1, CM084269_1_40447963.1, CM084269_1_43525133.1, CM084267_1_50993881.1, CM084276_1_38558670.0, CM084279_1_1070322.0, CM084277_1_36521583.1, CM084267_1_832165.0, CM084264_1_34294033.1, CM084269_1_40447963.0"
"15","adapter_trim.F2-J3-pH75.bam","adapter_trim.F1-B21-pH75.bam","adapter_trim.F1-B14-pH75.bam",0.47,"1","1, 4",TRUE,"CM084264_1_26771547.1, CM084271_1_37240198.1, CM084271_1_337322.0, CM084274_1_4869791.1, CM084268_1_276460.0, CM084265_1_50947034.0, CM084266_1_57886823.0, CM084268_1_50225017.1, CM084274_1_4769080.1, CM084265_1_68243992.1, CM084269_1_1567491.0, CM084275_1_327388.1, CM084264_1_70466154.0, CM084279_1_1070322.1, CM084276_1_1847305.0, CM084276_1_1500414.1, CM084265_1_72368299.1, CM084264_1_75512053.0, CM084276_1_1625254.1, CM084266_1_63195162.1, CM084269_1_46689548.0, CM084275_1_25397320.1, CM084266_1_69806306.0, CM084270_1_8444546.0, CM084275_1_29098877.1, CM084268_1_50321855.0, CM084278_1_23540722.0, CM084274_1_34976974.0, CM084268_1_45628.0, CM084265_1_73059931.0, CM084265_1_71926735.0, CM084267_1_6420915.1, CM084264_1_73604407.0, CM084269_1_43524393.0, CM084271_1_30532481.1"
"16","adapter_trim.F2-J24-pH75.bam","adapter_trim.F1-B6-pH75.bam","adapter_trim.F1-B14-pH75.bam",0.76,"1, 4","1, 4",TRUE,"CM084270_1_47077463.0, CM084265_1_59221308.1, CM084266_1_71224927.1, CM084265_1_1062161.1, CM084275_1_39394589.1, CM084266_1_62460055.1, CM084277_1_29780894.1, CM084276_1_38785504.1, CM084264_1_75338719.1, CM084265_1_70595157.1, CM084271_1_30532438.1, CM084274_1_4796888.0, CM084271_1_44190489.0, CM084272_1_1596807.0, CM084267_1_13231056.1, CM084267_1_1134553.0, CM084264_1_64269859.0, CM084271_1_43868125.0, CM084269_1_43524472.1, CM084270_1_8242350.0, CM084278_1_20736228.0, CM084265_1_71925486.1, CM084266_1_65347060.1, CM084273_1_10381194.0, CM084278_1_16773822.0, CM084269_1_43524691.1, CM084267_1_30270802.1, CM084275_1_39500153.0, CM084264_1_68634815.1, CM084264_1_70175562.0, CM084275_1_39338236.0, CM084268_1_24031315.1, CM084271_1_26332979.1, CM084267_1_2646656.1, CM084267_1_8118559.1"
"17","adapter_trim.F2-J65-pH75.bam","adapter_trim.F1-B21-pH75.bam","adapter_trim.F1-B14-pH75.bam",0.41,"1","1, 4",TRUE,"CM084275_1_4345708.0, CM084278_1_22644747.0, CM084265_1_19672164.1, CM084279_1_10159275.0, CM084271_1_19655927.1, CM084266_1_68322200.0, CM084268_1_50323442.0, CM084278_1_28652016.1, CM084279_1_32641182.0, CM084270_1_39395973.0, CM084278_1_22667362.0, CM084264_1_70190075.1, CM084274_1_4863902.1, CM084264_1_74800241.1, CM084267_1_2908966.0, CM084276_1_1849333.1, CM084266_1_69314162.1, CM084273_1_31863792.0, CM084275_1_38169332.0, CM084275_1_39502463.1, CM084275_1_4345059.1, CM084267_1_2908962.1, CM084266_1_64002578.0, CM084274_1_4863861.1, CM084264_1_65408.1, CM084274_1_4788646.0, CM084276_1_2841302.1, CM084265_1_70975032.1, CM084269_1_1558041.1, CM084265_1_71796309.0, CM084264_1_8112731.0, CM084276_1_1856888.1, CM084266_1_69794604.0, CM084268_1_45604.1, CM084264_1_69870962.0"
"18","adapter_trim.F2-J29-pH75.bam","adapter_trim.F1-B11-pH75.bam","adapter_trim.F1-B14-pH75.bam",0.5,"2, 4","1, 4",TRUE,"CM084264_1_26771547.1, CM084271_1_37240198.1, CM084271_1_337322.0, CM084274_1_4869791.1, CM084268_1_276460.0, CM084265_1_50947034.0, CM084266_1_57886823.0, CM084268_1_50225017.1, CM084274_1_4769080.1, CM084265_1_68243992.1, CM084269_1_1567491.0, CM084275_1_327388.1, CM084264_1_70466154.0, CM084279_1_1070322.1, CM084276_1_1847305.0, CM084276_1_1500414.1, CM084265_1_72368299.1, CM084264_1_75512053.0, CM084276_1_1625254.1, CM084266_1_63195162.1, CM084269_1_46689548.0, CM084275_1_25397320.1, CM084266_1_69806306.0, CM084270_1_8444546.0, CM084275_1_29098877.1, CM084268_1_50321855.0, CM084278_1_23540722.0, CM084274_1_34976974.0, CM084268_1_45628.0, CM084265_1_73059931.0, CM084265_1_71926735.0, CM084267_1_6420915.1, CM084264_1_73604407.0, CM084269_1_43524393.0, CM084271_1_30532481.1"
"19","adapter_trim.F2-B19-pH75.bam","adapter_trim.F1-B11-pH75.bam","adapter_trim.F1-B14-pH75.bam",1.43,"2, 4","1, 4",TRUE,"CM084277_1_10417520.0, CM084266_1_58098009.1, CM084279_1_1062144.1, CM084264_1_73931173.1, CM084274_1_42293378.1, CM084267_1_52092644.0, CM084268_1_50200545.0, CM084265_1_71795197.0, CM084271_1_3820355.0, CM084272_1_1311984.1, CM084272_1_18188624.0, CM084269_1_1555101.1, CM084279_1_161458.1, CM084269_1_45310979.1, CM084279_1_32662843.1, CM084264_1_26771545.0, CM084272_1_18170761.0, CM084265_1_24901907.0, CM084275_1_400325.1, CM084265_1_64528148.1, CM084269_1_4635085.1, CM084276_1_37916914.0, CM084277_1_18541349.0, CM084272_1_33597669.0, CM084268_1_3704001.1, CM084272_1_43469575.1, CM084276_1_6150174.1, CM084274_1_42859637.0, CM084264_1_34300372.0, CM084274_1_4694967.1, CM084274_1_4694522.1, CM084276_1_1856078.1, CM084270_1_42355495.1, CM084278_1_23542543.1, CM084272_1_18191744.0"
"20","adapter_trim.F2-B6-pH75.bam","adapter_trim.F1-B6-pH75.bam","adapter_trim.F1-B14-pH75.bam",0.67,"1, 4","1, 4",TRUE,"CM084264_1_69682047.0, CM084265_1_791030.0, CM084272_1_18194979.1, CM084275_1_529155.1, CM084265_1_1816569.0, CM084267_1_2163730.0, CM084276_1_7202888.1, CM084268_1_3710137.0, CM084273_1_31862397.0, CM084267_1_52593733.1, CM084264_1_15064482.0, CM084266_1_70195701.1, CM084267_1_50993981.0, CM084275_1_39780958.0, CM084278_1_32252684.1, CM084278_1_20591212.0, CM084279_1_1062144.0, CM084278_1_23541775.1, CM084279_1_1512885.1, CM084275_1_25393422.1, CM084278_1_20591128.1, CM084278_1_16774412.1, CM084276_1_20157323.1, CM084265_1_68808047.0, CM084264_1_66439902.1, CM084274_1_4863041.0, CM084278_1_23554765.0, CM084270_1_39395894.1, CM084266_1_67098131.0, CM084269_1_43524104.1, CM084268_1_3704020.0, CM084267_1_30269806.1, CM084270_1_4921106.1, CM084277_1_30953064.0, CM084267_1_956424.1"
