"","sire","dam","id","loci","n.loci","LLRdam","LLRsire","absLLRtotal","dam.batch","sire.batch","Fertilization_pairs"
"11","adapter_trim.F1-B1-pH8.bam","adapter_trim.F1-B21-pH8.bam","adapter_trim.F2-J224-pH7.bam","CM084267_1_13261500.0, CM084265_1_71826461.0, CM084269_1_1555101.1, CM084271_1_44086139.0, CM084279_1_32665186.0, CM084276_1_37353202.0, CM084269_1_43523893.0, CM084275_1_29098877.0, CM084265_1_50947034.1, CM084273_1_31866838.1, CM084268_1_50693767.1, CM084266_1_65401967.1, CM084276_1_4855640.0, CM084265_1_8361562.1, CM084274_1_34977142.1, CM084269_1_39737144.0, CM084269_1_40438751.1, CM084275_1_120808.1, CM084265_1_58036225.0, CM084277_1_30953064.0, CM084277_1_4875753.0, CM084269_1_47563826.0, CM084264_1_70210134.0, CM084265_1_68789108.1, CM084267_1_956424.1, CM084268_1_28845509.0, CM084265_1_72368245.0, CM084269_1_42862695.1, CM084274_1_4870391.1, CM084269_1_43525214.0","30","-0.26","-0.19","0.45","2, 4","2, 4","TRUE"
"12","adapter_trim.F1-B1-pH8.bam","adapter_trim.F1-B21-pH8.bam","adapter_trim.F2-B10-pH7.bam","CM084268_1_50681662.1, CM084279_1_10159275.0, CM084265_1_72926026.0, CM084269_1_42862716.0, CM084266_1_62460055.0, CM084278_1_20635947.0, CM084264_1_69271981.0, CM084268_1_45574.1, CM084266_1_68515581.0, CM084265_1_68073022.1, CM084269_1_15827788.1, CM084265_1_68869496.0, CM084273_1_7839324.0, CM084265_1_70799357.1, CM084278_1_16774023.1, CM084264_1_65945.0, CM084279_1_1196450.0, CM084279_1_32640566.1, CM084264_1_2740287.0, CM084272_1_1311984.1, CM084265_1_71794141.0, CM084276_1_38287449.0, CM084269_1_1541112.1, CM084271_1_218855.0, CM084266_1_59802412.0, CM084269_1_1580179.0, CM084265_1_64586069.1, CM084265_1_71925442.1, CM084266_1_69141117.1, CM084271_1_44228071.1","30","-0.19","-0.21","0.4","2, 4","2, 4","TRUE"
"13","adapter_trim.F1-B1-pH8.bam","adapter_trim.F1-B20-pH8.bam","adapter_trim.F2-J185-pH7.bam","CM084266_1_68643450.1, CM084266_1_69632417.1, CM084272_1_2072764.1, CM084272_1_33607000.0, CM084266_1_68319477.0, CM084269_1_39736991.0, CM084273_1_7826703.1, CM084273_1_31862476.1, CM084264_1_72117233.1, CM084264_1_72118711.1, CM084279_1_1070264.1, CM084274_1_4796871.0, CM084266_1_71160177.0, CM084265_1_8362505.1, CM084270_1_42355495.0, CM084266_1_71224927.1, CM084267_1_5161043.0, CM084264_1_75506833.1, CM084271_1_19655820.0, CM084265_1_69004202.0, CM084271_1_337322.0, CM084266_1_69085566.0, CM084271_1_1033937.1, CM084274_1_4795112.0, CM084278_1_14913766.0, CM084272_1_2072734.1, CM084274_1_4862958.0, CM084278_1_23541775.1, CM084272_1_1307854.0, CM084266_1_62460034.1","30","0.02","0","0.02","2","2, 4","TRUE"
"14","adapter_trim.F1-B1-pH8.bam","adapter_trim.F1-B15-pH8.bam","adapter_trim.F2-J224-pH7.bam","CM084264_1_73926180.0, CM084264_1_12084151.1, CM084269_1_45280054.0, CM084274_1_5566177.1, CM084270_1_8242296.0, CM084264_1_34301159.0, CM084270_1_4921103.1, CM084273_1_268148.1, CM084271_1_43860422.1, CM084267_1_699428.1, CM084265_1_71828881.0, CM084276_1_56048.0, CM084269_1_42862695.1, CM084269_1_43525133.1, CM084276_1_38558602.1, CM084271_1_44075852.0, CM084278_1_19961223.1, CM084274_1_4796871.1, CM084266_1_64725871.1, CM084276_1_11709760.0, CM084268_1_50200472.1, CM084274_1_4796888.0, CM084279_1_32915259.1, CM084274_1_4769100.1, CM084264_1_68688357.0, CM084278_1_23542543.0, CM084266_1_70400231.0, CM084272_1_9069880.1, CM084277_1_30027550.1, CM084270_1_32126729.0","30","-0.17","-0.08","0.25","1, 4","2, 4","TRUE"
"15","adapter_trim.F1-B1-pH8.bam","adapter_trim.F1-B15-pH8.bam","adapter_trim.F2-J184-pH7.bam","CM084275_1_524596.1, CM084266_1_68519988.0, CM084267_1_5165711.0, CM084264_1_68688357.0, CM084268_1_3691693.0, CM084275_1_319193.1, CM084269_1_15809963.0, CM084267_1_51366722.1, CM084268_1_50739244.0, CM084275_1_25397304.0, CM084274_1_4734039.1, CM084277_1_5804275.1, CM084277_1_35287257.1, CM084277_1_4875899.1, CM084264_1_2740285.1, CM084268_1_50219227.0, CM084266_1_58111750.0, CM084278_1_5144747.0, CM084264_1_2740173.1, CM084264_1_6151084.1, CM084264_1_70355052.1, CM084265_1_1062071.0, CM084278_1_20732803.0, CM084265_1_3130640.1, CM084271_1_218843.0, CM084274_1_4694578.0, CM084279_1_32640576.0, CM084264_1_2738036.0, CM084273_1_21179215.0, CM084267_1_13261525.1","30","-0.12","0.18","0.3","1, 4","2, 4","TRUE"
"16","adapter_trim.F1-B1-pH8.bam","adapter_trim.F1-B21-pH8.bam","adapter_trim.F2-B4-pH7.bam","CM084268_1_50681662.1, CM084279_1_10159275.0, CM084265_1_72926026.0, CM084269_1_42862716.0, CM084266_1_62460055.0, CM084278_1_20635947.0, CM084264_1_69271981.0, CM084268_1_45574.1, CM084266_1_68515581.0, CM084265_1_68073022.1, CM084269_1_15827788.1, CM084265_1_68869496.0, CM084273_1_7839324.0, CM084265_1_70799357.1, CM084278_1_16774023.1, CM084264_1_65945.0, CM084279_1_1196450.0, CM084279_1_32640566.1, CM084264_1_2740287.0, CM084272_1_1311984.1, CM084265_1_71794141.0, CM084276_1_38287449.0, CM084269_1_1541112.1, CM084271_1_218855.0, CM084266_1_59802412.0, CM084269_1_1580179.0, CM084265_1_64586069.1, CM084265_1_71925442.1, CM084266_1_69141117.1, CM084271_1_44228071.1","30","-0.53","-0.37","0.9","2, 4","2, 4","TRUE"
"17","adapter_trim.F1-B1-pH8.bam","adapter_trim.F1-B8-pH8.bam","adapter_trim.F2-B12-pH7.bam","CM084264_1_69287134.1, CM084278_1_16767353.0, CM084269_1_40336193.0, CM084266_1_69315469.1, CM084272_1_33597669.0, CM084264_1_69287336.0, CM084278_1_22667362.0, CM084272_1_18170755.0, CM084264_1_72929492.1, CM084278_1_29698402.1, CM084265_1_70979988.0, CM084268_1_50321855.0, CM084272_1_33503418.0, CM084272_1_33452056.0, CM084265_1_68243992.0, CM084275_1_39774900.0, CM084265_1_14403532.0, CM084272_1_7002400.0, CM084277_1_30168398.0, CM084271_1_37244938.1, CM084268_1_49533758.0, CM084265_1_70977429.1, CM084269_1_1567848.0, CM084276_1_2855915.0, CM084265_1_71828881.1, CM084269_1_46858338.0, CM084266_1_64726670.0, CM084272_1_18188792.1, CM084277_1_30635514.1, CM084266_1_57886153.0","30","-0.16","-0.33","0.49","1","2, 4","FALSE"
"18","adapter_trim.F1-B1-pH8.bam","adapter_trim.F1-B15-pH8.bam","adapter_trim.F2-J202-pH7.bam","CM084267_1_48167433.1, CM084274_1_4863902.0, CM084274_1_4694578.0, CM084276_1_25532347.1, CM084267_1_52776062.1, CM084266_1_71148884.1, CM084278_1_24948349.0, CM084276_1_12392697.1, CM084264_1_34291216.0, CM084266_1_57882079.0, CM084269_1_1556132.0, CM084269_1_47265300.0, CM084268_1_50202339.0, CM084279_1_10159270.1, CM084264_1_68689028.1, CM084275_1_120896.0, CM084269_1_47265300.1, CM084267_1_2908962.0, CM084276_1_56673.0, CM084265_1_24901885.1, CM084269_1_1580179.0, CM084273_1_32698886.1, CM084265_1_64735335.1, CM084266_1_69089438.1, CM084266_1_68661769.0, CM084274_1_4863041.1, CM084271_1_26325720.1, CM084264_1_73926179.0, CM084265_1_64581822.0, CM084275_1_272975.0","30","0.17","-0.08","0.25","1, 4","2, 4","TRUE"
"19","adapter_trim.F1-B1-pH8.bam","adapter_trim.F1-B21-pH8.bam","adapter_trim.F2-J165-pH7.bam","CM084276_1_37352348.0, CM084265_1_65233014.0, CM084275_1_25397320.0, CM084274_1_41688611.0, CM084266_1_64164380.0, CM084268_1_46382.1, CM084268_1_1508049.1, CM084265_1_68808047.1, CM084273_1_33585263.1, CM084274_1_4709671.1, CM084266_1_57883097.1, CM084266_1_57884345.0, CM084265_1_39553350.0, CM084265_1_70595157.0, CM084268_1_4036222.0, CM084269_1_15798363.1, CM084273_1_9136147.1, CM084275_1_661848.1, CM084267_1_2135737.1, CM084269_1_45238247.1, CM084269_1_4636404.0, CM084266_1_70181797.0, CM084269_1_12903174.0, CM084274_1_11619978.0, CM084265_1_791018.0, CM084271_1_379038.1, CM084271_1_30532429.0, CM084275_1_39500153.0, CM084268_1_2720910.1, CM084268_1_4550920.0","30","-0.09","-0.01","0.1","2, 4","2, 4","TRUE"
"20","adapter_trim.F1-B1-pH8.bam","adapter_trim.F1-B21-pH8.bam","adapter_trim.F2-J224-pH7.bam","CM084264_1_68688356.1, CM084271_1_44090302.0, CM084276_1_38271842.0, CM084265_1_1118730.1, CM084271_1_43816629.0, CM084274_1_4795903.1, CM084265_1_64196870.0, CM084268_1_50679570.1, CM084274_1_4870202.0, CM084267_1_51248424.0, CM084268_1_82411.0, CM084265_1_24901859.0, CM084278_1_22665046.1, CM084271_1_257149.1, CM084270_1_32126724.0, CM084271_1_1052235.1, CM084265_1_71796309.1, CM084264_1_2738036.1, CM084269_1_1558034.0, CM084269_1_1572991.1, CM084277_1_30168073.1, CM084265_1_19672164.1, CM084276_1_38970482.0, CM084273_1_31863355.1, CM084276_1_38072623.1, CM084264_1_8098050.1, CM084269_1_42862803.1, CM084278_1_22654264.1, CM084271_1_44075853.0, CM084279_1_649298.1","30","0.03","0.13","0.16","2, 4","2, 4","TRUE"
