"","id","dam","sire","absLLRtotal","Fertilization_pairs","loci"
"1","adapter_trim.F2-B16-pH7.bam","adapter_trim.F1-B8-pH8.bam","adapter_trim.F1-B1-pH8.bam",0.75,FALSE,"CM084271_1_3820382.0, CM084265_1_61648709.1, CM084264_1_70182851.0, CM084274_1_4708745.0, CM084274_1_42859635.1, CM084269_1_15799394.0, CM084266_1_59802412.1, CM084274_1_4694551.0, CM084267_1_2652526.1, CM084269_1_12905566.1, CM084265_1_72368204.0, CM084275_1_312956.0, CM084265_1_70800987.1, CM084278_1_22665042.1, CM084268_1_3703420.1, CM084266_1_69051092.1, CM084276_1_11709759.0, CM084276_1_1510348.0, CM084267_1_6420945.1, CM084275_1_39502397.0, CM084266_1_69793914.1, CM084279_1_10150670.0, CM084267_1_6420929.0, CM084264_1_73929737.1, CM084278_1_20625152.1, CM084273_1_31862642.1, CM084279_1_1063045.1, CM084276_1_38772790.0, CM084268_1_50323846.0, CM084278_1_22654264.1"
"2","adapter_trim.F2-J166-pH7.bam","adapter_trim.F1-B20-pH8.bam","adapter_trim.F1-B1-pH8.bam",0.83,TRUE,"CM084267_1_52593725.0, CM084272_1_33503448.1, CM084266_1_816291.0, CM084274_1_4769100.0, CM084275_1_328861.1, CM084275_1_39781005.0, CM084274_1_4773524.1, CM084270_1_13944196.1, CM084277_1_31222635.1, CM084273_1_42287132.0, CM084267_1_6420945.1, CM084264_1_70188213.1, CM084264_1_34300890.0, CM084264_1_73926177.1, CM084274_1_43090783.0, CM084267_1_51241061.0, CM084276_1_38552515.1, CM084264_1_26773690.1, CM084269_1_46688892.1, CM084265_1_65232929.0, CM084264_1_72912659.1, CM084264_1_73886234.1, CM084269_1_4628639.1, CM084264_1_39013.0, CM084265_1_66141859.0, CM084264_1_64874708.1, CM084272_1_18553681.1, CM084265_1_64196870.0, CM084266_1_57888563.0, CM084273_1_31862476.1"
"3","adapter_trim.F2-B10-pH7.bam","adapter_trim.F1-B8-pH8.bam","adapter_trim.F1-B1-pH8.bam",1.07,FALSE,"CM084268_1_1326643.0, CM084266_1_70940178.0, CM084277_1_1868384.0, CM084265_1_72992174.0, CM084265_1_72986756.1, CM084276_1_59031.1, CM084275_1_29098655.0, CM084268_1_24031315.1, CM084269_1_15823188.1, CM084274_1_4795052.1, CM084270_1_47077479.1, CM084268_1_938570.0, CM084267_1_591197.0, CM084267_1_50392699.0, CM084274_1_4694915.1, CM084264_1_73311139.0, CM084264_1_69863993.0, CM084274_1_4792130.0, CM084271_1_26325720.0, CM084276_1_12383618.0, CM084273_1_42287238.1, CM084268_1_50679551.1, CM084268_1_50200472.1, CM084270_1_1559802.0, CM084264_1_70191778.1, CM084274_1_4864709.0, CM084274_1_4788621.1, CM084266_1_70221170.0, CM084274_1_41688611.0, CM084272_1_7002400.0"
"4","adapter_trim.F2-B8-pH7.bam","adapter_trim.F1-B15-pH8.bam","adapter_trim.F1-B1-pH8.bam",0.85,TRUE,"CM084278_1_31960704.1, CM084265_1_64736906.1, CM084279_1_32644251.0, CM084274_1_4734039.0, CM084268_1_42211.0, CM084276_1_38559639.1, CM084269_1_1567834.0, CM084277_1_31027263.0, CM084265_1_71796309.1, CM084274_1_4869968.1, CM084264_1_34294033.0, CM084265_1_68072879.0, CM084269_1_12905592.0, CM084268_1_50693767.0, CM084276_1_38797641.1, CM084278_1_23541019.1, CM084271_1_43338888.0, CM084274_1_4773492.1, CM084274_1_4727151.0, CM084272_1_33503418.1, CM084270_1_47077595.0, CM084275_1_25393416.0, CM084266_1_58087776.1, CM084269_1_40338578.1, CM084265_1_71265301.0, CM084271_1_3805850.0, CM084265_1_70977429.0, CM084265_1_58531646.1, CM084266_1_69793914.0, CM084275_1_39420927.0"
"5","adapter_trim.F2-B4-pH7.bam","adapter_trim.F1-B21-pH8.bam","adapter_trim.F1-B10-pH8.bam",0.93,TRUE,"CM084271_1_44086139.0, CM084264_1_8098035.0, CM084269_1_1567133.0, CM084278_1_20858397.1, CM084264_1_75278291.0, CM084266_1_1233079.1, CM084265_1_65268038.0, CM084271_1_19655228.1, CM084271_1_3822736.0, CM084278_1_22657612.0, CM084274_1_42859637.0, CM084265_1_71820726.0, CM084266_1_70400233.0, CM084277_1_18535878.0, CM084267_1_2910818.1, CM084274_1_4792256.1, CM084272_1_18191577.0, CM084269_1_40338578.1, CM084265_1_72091635.1, CM084279_1_31073085.1, CM084279_1_32640625.0, CM084272_1_1596808.1, CM084274_1_4862958.1, CM084270_1_32126728.1, CM084276_1_20157067.0, CM084264_1_72075476.0, CM084264_1_15064482.0, CM084275_1_38169337.1, CM084266_1_68643487.0, CM084265_1_64735174.0"
"6","adapter_trim.F2-J164-pH7.bam","adapter_trim.F1-B15-pH8.bam","adapter_trim.F1-B10-pH8.bam",0.97,FALSE,"CM084278_1_31960704.1, CM084265_1_64736906.1, CM084279_1_32644251.0, CM084274_1_4734039.0, CM084268_1_42211.0, CM084276_1_38559639.1, CM084269_1_1567834.0, CM084277_1_31027263.0, CM084265_1_71796309.1, CM084274_1_4869968.1, CM084264_1_34294033.0, CM084265_1_68072879.0, CM084269_1_12905592.0, CM084268_1_50693767.0, CM084276_1_38797641.1, CM084278_1_23541019.1, CM084271_1_43338888.0, CM084274_1_4773492.1, CM084274_1_4727151.0, CM084272_1_33503418.1, CM084270_1_47077595.0, CM084275_1_25393416.0, CM084266_1_58087776.1, CM084269_1_40338578.1, CM084265_1_71265301.0, CM084271_1_3805850.0, CM084265_1_70977429.0, CM084265_1_58531646.1, CM084266_1_69793914.0, CM084275_1_39420927.0"
"7","adapter_trim.F2-J225-pH7.bam","adapter_trim.F1-B20-pH8.bam","adapter_trim.F1-B10-pH8.bam",0.99,TRUE,"CM084264_1_70173615.1, CM084265_1_54591404.0, CM084278_1_22667323.0, CM084269_1_15820188.1, CM084268_1_42211.1, CM084266_1_69315458.1, CM084265_1_64581822.0, CM084268_1_47694452.1, CM084268_1_49719639.0, CM084266_1_66832562.1, CM084279_1_161458.0, CM084276_1_38557410.0, CM084276_1_2855158.0, CM084275_1_39491731.1, CM084272_1_18188624.0, CM084279_1_32652220.1, CM084279_1_992716.1, CM084271_1_3818665.1, CM084266_1_67235326.0, CM084276_1_38539465.0, CM084277_1_29781979.1, CM084266_1_69141150.1, CM084279_1_10156951.1, CM084265_1_58483282.1, CM084279_1_1882771.1, CM084265_1_68072879.0, CM084269_1_43524393.0, CM084264_1_66522464.1, CM084276_1_38558602.0, CM084271_1_3819398.1"
"8","adapter_trim.F2-B2-pH7.bam","adapter_trim.F1-B20-pH8.bam","adapter_trim.F1-B11-pH8.bam",1.25,FALSE,"CM084269_1_40438751.0, CM084277_1_5804354.0, CM084274_1_4792130.0, CM084266_1_63468234.1, CM084269_1_15809964.1, CM084269_1_46688879.1, CM084278_1_5144747.1, CM084277_1_29780644.1, CM084275_1_126552.0, CM084279_1_10153273.1, CM084270_1_47077551.0, CM084266_1_68478650.1, CM084273_1_32683016.0, CM084269_1_35627100.1, CM084274_1_4773486.0, CM084264_1_34294476.0, CM084275_1_312851.1, CM084269_1_35627080.1, CM084273_1_31865409.1, CM084274_1_4868366.0, CM084275_1_25388576.0, CM084275_1_312849.0, CM084265_1_8362532.1, CM084269_1_1544562.0, CM084266_1_1233079.1, CM084265_1_71925486.0, CM084269_1_1572991.0, CM084276_1_56075.0, CM084271_1_11500090.0, CM084275_1_39500153.1"
"9","adapter_trim.F2-J223-pH7.bam","adapter_trim.F1-B20-pH8.bam","adapter_trim.F1-B11-pH8.bam",1.01,FALSE,"CM084274_1_4726637.1, CM084266_1_68659872.1, CM084268_1_9292527.0, CM084273_1_21179215.0, CM084274_1_4792130.0, CM084269_1_1549405.0, CM084275_1_1304704.0, CM084276_1_56048.1, CM084265_1_70801101.1, CM084264_1_74721251.0, CM084273_1_4090291.1, CM084271_1_1034868.1, CM084268_1_28845509.1, CM084265_1_59221291.1, CM084270_1_39395973.1, CM084265_1_70979980.0, CM084266_1_57888582.1, CM084268_1_3691693.0, CM084277_1_1858867.1, CM084275_1_39420927.0, CM084269_1_12905590.1, CM084272_1_18188700.0, CM084275_1_29098652.1, CM084275_1_25388529.1, CM084278_1_22667296.1, CM084279_1_10156951.1, CM084278_1_20701768.0, CM084278_1_23542073.0, CM084266_1_66383611.1, CM084264_1_34292374.1"
"10","adapter_trim.F2-B5-pH7.bam","adapter_trim.F1-B15-pH8.bam","adapter_trim.F1-B11-pH8.bam",0.93,TRUE,"CM084264_1_72054043.1, CM084277_1_10628711.1, CM084275_1_327919.0, CM084265_1_70975032.1, CM084267_1_2908860.1, CM084267_1_8687423.0, CM084273_1_42252916.1, CM084268_1_45604.1, CM084268_1_3261991.0, CM084276_1_2857930.0, CM084273_1_31864421.1, CM084266_1_59802398.0, CM084265_1_71796317.1, CM084268_1_3691704.1, CM084279_1_1062144.0, CM084276_1_38797638.0, CM084268_1_45628.1, CM084269_1_1556257.1, CM084266_1_57888582.1, CM084272_1_1704343.0, CM084267_1_51000137.1, CM084267_1_13226543.1, CM084278_1_22654601.0, CM084278_1_20600197.1, CM084276_1_56075.0, CM084264_1_69902276.1, CM084269_1_45280054.1, CM084268_1_28851913.1, CM084271_1_44086160.0, CM084270_1_46588177.0"
