"","id","dam","sire","absLLRtotal","dam.batch","sire.batch","Fertilization_pairs","loci"
"11","adapter_trim.F2-J105-pH8.bam","adapter_trim.F1-B15-pH8.bam","adapter_trim.F1-B4-pH8.bam","0.18","1, 4","1","TRUE","CM084266_1_57888640.1, CM084274_1_4795112.0, CM084274_1_4808183.1, CM084275_1_319819.0, CM084272_1_33607296.1, CM084268_1_46382.1, CM084273_1_214007.1, CM084264_1_61167131.1, CM084278_1_20742383.1, CM084269_1_41809353.0, CM084274_1_4793177.1, CM084265_1_71794141.1, CM084275_1_39502374.0, CM084265_1_61648709.0, CM084272_1_1891434.0, CM084271_1_3820313.0, CM084272_1_18191738.1, CM084278_1_22665046.1, CM084279_1_32917233.1, CM084272_1_36474233.0, CM084278_1_20635947.1, CM084264_1_74191538.1, CM084276_1_1852880.0, CM084266_1_68643398.1, CM084264_1_68634815.1, CM084266_1_67098131.1, CM084278_1_279490.1, CM084267_1_51241061.1, CM084269_1_1558064.1, CM084272_1_33452045.1, CM084276_1_1625254.0, CM084275_1_42592955.1, CM084279_1_32673936.1, CM084279_1_1070298.0, CM084272_1_18191744.1, CM084272_1_36474242.1, CM084267_1_6420929.1, CM084270_1_42355534.1, CM084272_1_2073150.1, CM084268_1_18512751.1"
"12","adapter_trim.F2-B12-pH8.bam","adapter_trim.F1-B15-pH8.bam","adapter_trim.F1-B4-pH8.bam","0.72","1, 4","1","TRUE","CM084264_1_74266371.1, CM084279_1_32640576.0, CM084276_1_59031.0, CM084269_1_35627096.1, CM084268_1_2717677.1, CM084273_1_7839324.1, CM084264_1_69271984.0, CM084268_1_50739258.0, CM084275_1_39502397.0, CM084268_1_50200472.0, CM084267_1_6421475.1, CM084264_1_2737867.1, CM084276_1_38558670.0, CM084266_1_68320536.0, CM084265_1_61648602.1, CM084271_1_44077341.0, CM084264_1_68688975.1, CM084269_1_43527808.0, CM084268_1_3695260.1, CM084270_1_4751856.0, CM084266_1_23298342.1, CM084274_1_4795903.0, CM084266_1_67098131.0, CM084275_1_25393709.1, CM084269_1_45238254.0, CM084274_1_4788661.0, CM084265_1_68019714.1, CM084266_1_70396060.0, CM084276_1_1856639.1, CM084271_1_257113.1, CM084267_1_728194.0, CM084271_1_287653.0, CM084275_1_1304704.1, CM084267_1_2908982.1, CM084276_1_1856630.0, CM084275_1_312956.0, CM084278_1_20732805.0, CM084278_1_29698402.0, CM084265_1_66142270.1, CM084272_1_36474231.0"
"13","adapter_trim.F2-J146-pH8.bam","adapter_trim.F1-B15-pH8.bam","adapter_trim.F1-B4-pH8.bam","0.7","1, 4","1","TRUE","CM084271_1_44070252.1, CM084269_1_46688909.0, CM084267_1_51000190.1, CM084279_1_10149628.0, CM084277_1_30953033.1, CM084271_1_1054026.1, CM084275_1_39420927.1, CM084268_1_49735217.0, CM084276_1_38558585.1, CM084266_1_57889053.0, CM084272_1_18189795.1, CM084268_1_42745.0, CM084276_1_4238114.0, CM084265_1_71820726.0, CM084266_1_68320536.0, CM084278_1_20689091.0, CM084269_1_46694331.0, CM084265_1_69924624.0, CM084279_1_32640625.1, CM084266_1_62460058.0, CM084264_1_70390974.0, CM084275_1_39502374.1, CM084266_1_67097920.0, CM084268_1_50202339.1, CM084267_1_4505277.0, CM084264_1_7131437.0, CM084277_1_28144351.1, CM084266_1_65993526.1, CM084269_1_4625304.0, CM084277_1_30642880.0, CM084267_1_50392661.1, CM084279_1_993504.1, CM084266_1_70743731.1, CM084268_1_2832736.0, CM084279_1_31409239.0, CM084275_1_1304704.0, CM084278_1_23536520.0, CM084268_1_3261991.1, CM084266_1_69050667.1, CM084269_1_1526871.1"
"14","adapter_trim.F2-J123-pH8.bam","adapter_trim.F1-B25-pH8.bam","adapter_trim.F1-B5-pH8.bam","0.55","3","3","TRUE","CM084266_1_50301559.0, CM084277_1_4876009.1, CM084274_1_4793084.1, CM084265_1_64586071.1, CM084276_1_2855158.0, CM084279_1_10151202.1, CM084267_1_5830233.1, CM084268_1_28845501.0, CM084266_1_64164372.0, CM084266_1_69315499.1, CM084272_1_33503448.1, CM084264_1_34294476.0, CM084266_1_71149027.0, CM084269_1_1572344.0, CM084268_1_41971.0, CM084266_1_64164374.0, CM084265_1_68806450.0, CM084276_1_37352422.0, CM084266_1_70707515.0, CM084276_1_37355346.1, CM084264_1_70188213.1, CM084264_1_74191575.1, CM084276_1_1625254.0, CM084272_1_1308695.1, CM084272_1_18191742.0, CM084264_1_70466179.1, CM084272_1_18193899.0, CM084269_1_42862803.1, CM084265_1_71796271.1, CM084273_1_7839417.0, CM084264_1_70471433.1, CM084264_1_12084151.0, CM084264_1_8098035.1, CM084272_1_33616443.0, CM084264_1_69303600.1, CM084267_1_6420929.0, CM084278_1_22665046.0, CM084271_1_218791.0, CM084278_1_23536923.1, CM084270_1_1553326.0"
"15","adapter_trim.F2-J84-pH8.bam","adapter_trim.F1-B25-pH8.bam","adapter_trim.F1-B5-pH8.bam","0.97","3","3","TRUE","CM084266_1_57888166.1, CM084276_1_38787722.0, CM084272_1_18188624.0, CM084272_1_18170761.0, CM084278_1_31960635.0, CM084267_1_6420828.1, CM084267_1_9176202.0, CM084269_1_42862695.1, CM084272_1_18188620.0, CM084276_1_38558602.1, CM084279_1_28791311.0, CM084264_1_74800241.1, CM084265_1_70801101.0, CM084277_1_31027263.0, CM084266_1_69050667.1, CM084265_1_64735335.0, CM084264_1_70471578.0, CM084275_1_23104495.0, CM084265_1_959807.1, CM084279_1_16586112.1, CM084278_1_22644846.0, CM084265_1_64586069.0, CM084266_1_57888563.0, CM084269_1_46692099.0, CM084278_1_15228688.0, CM084265_1_68807625.0, CM084270_1_10496921.1, CM084276_1_2855917.0, CM084264_1_72054053.0, CM084270_1_10496921.1, CM084267_1_6420851.0, CM084278_1_20858390.0, CM084265_1_58530104.1, CM084269_1_4626408.1, CM084276_1_38773527.0, CM084274_1_4674050.1, CM084266_1_69141121.1, CM084266_1_62460034.0, CM084264_1_2737867.1, CM084269_1_36339693.0"
"16","adapter_trim.F2-J147-pH8.bam","adapter_trim.F1-B25-pH8.bam","adapter_trim.F1-B5-pH8.bam","1.04","3","3","TRUE","CM084276_1_2855903.1, CM084278_1_22656620.0, CM084266_1_57883097.0, CM084265_1_72991915.1, CM084265_1_64586070.0, CM084264_1_74721232.1, CM084265_1_69007607.1, CM084264_1_74266331.1, CM084276_1_12383618.0, CM084269_1_46733053.1, CM084265_1_72178237.1, CM084265_1_70801101.0, CM084274_1_4695002.1, CM084266_1_71148884.0, CM084268_1_50693763.1, CM084279_1_10147347.0, CM084274_1_4795049.0, CM084274_1_4708043.1, CM084271_1_26325716.1, CM084264_1_66439628.0, CM084264_1_70173621.0, CM084274_1_4864753.1, CM084274_1_4694494.1, CM084271_1_3821109.1, CM084264_1_2740173.1, CM084273_1_268158.1, CM084271_1_19656061.1, CM084273_1_31865682.1, CM084276_1_1856082.0, CM084265_1_59221309.0, CM084269_1_43523784.0, CM084266_1_70400233.0, CM084266_1_70706263.1, CM084270_1_4751756.0, CM084270_1_42355534.0, CM084267_1_52591576.0, CM084268_1_2832740.1, CM084273_1_33585263.0, CM084264_1_5215232.1, CM084265_1_64832885.0"
"17","adapter_trim.F2-B16-pH8.bam","adapter_trim.F1-B25-pH8.bam","adapter_trim.F1-B5-pH8.bam","1.23","3","3","TRUE","CM084264_1_65424.0, CM084270_1_47077465.1, CM084266_1_66383611.0, CM084265_1_64584031.1, CM084276_1_6688311.1, CM084269_1_1558064.1, CM084265_1_68808152.0, CM084275_1_20000990.0, CM084265_1_69007607.1, CM084275_1_29098652.1, CM084279_1_33759502.0, CM084271_1_39685141.1, CM084271_1_44075859.0, CM084264_1_74800272.0, CM084274_1_4778592.1, CM084271_1_30532429.0, CM084276_1_25809481.1, CM084276_1_1852880.1, CM084266_1_62460100.1, CM084267_1_6420915.1, CM084267_1_2910813.0, CM084274_1_4694558.0, CM084264_1_70188206.0, CM084275_1_8878509.0, CM084270_1_47103340.1, CM084268_1_3699589.1, CM084276_1_38558458.1, CM084265_1_72368163.1, CM084265_1_73059931.1, CM084266_1_57888166.0, CM084275_1_77171.1, CM084264_1_74800241.0, CM084271_1_44104315.0, CM084265_1_1816569.1, CM084265_1_61648602.1, CM084265_1_64735421.1, CM084269_1_42862707.0, CM084272_1_36474231.0, CM084265_1_64735335.0, CM084264_1_73604722.0"
"18","adapter_trim.F2-B1-pH8.bam","adapter_trim.F1-B25-pH8.bam","adapter_trim.F1-B5-pH8.bam","0.32","3","3","TRUE","CM084266_1_57889092.1, CM084265_1_71831401.1, CM084275_1_39394589.0, CM084268_1_24030545.1, CM084266_1_52832550.0, CM084264_1_15073604.1, CM084269_1_15823954.1, CM084272_1_33597669.1, CM084272_1_36474231.0, CM084266_1_69095441.1, CM084265_1_71265328.1, CM084271_1_43868181.1, CM084276_1_1625254.0, CM084266_1_65347099.1, CM084272_1_9069881.0, CM084269_1_1526871.1, CM084265_1_69007607.1, CM084265_1_72074244.1, CM084278_1_34806817.0, CM084264_1_70175500.1, CM084274_1_4726244.1, CM084264_1_73926180.1, CM084264_1_73309412.0, CM084274_1_4694915.1, CM084264_1_71189798.1, CM084268_1_282153.0, CM084278_1_20591181.1, CM084273_1_32683016.1, CM084265_1_71925486.0, CM084264_1_70175551.1, CM084274_1_4730081.0, CM084265_1_59221320.0, CM084278_1_20623588.1, CM084265_1_8362532.0, CM084275_1_327918.0, CM084271_1_340905.1, CM084264_1_71189798.1, CM084275_1_327936.0, CM084270_1_4921029.0, CM084271_1_44228071.0"
"19","adapter_trim.F2-B11-pH8.bam","adapter_trim.F1-B25-pH8.bam","adapter_trim.F1-B7-pH8.bam","0.56","3","3, 4","TRUE","CM084265_1_72071366.1, CM084271_1_43920589.1, CM084264_1_70171655.0, CM084274_1_3692513.0, CM084272_1_1704404.0, CM084270_1_4921089.0, CM084266_1_58087045.0, CM084279_1_28791311.1, CM084266_1_65576934.1, CM084276_1_37987483.0, CM084275_1_35722051.1, CM084278_1_22645215.0, CM084271_1_346616.1, CM084273_1_42285571.1, CM084270_1_9411968.0, CM084266_1_68919215.1, CM084266_1_58086157.0, CM084279_1_10150695.1, CM084274_1_4734036.1, CM084267_1_727876.1, CM084279_1_1072367.1, CM084267_1_8118540.1, CM084271_1_26324154.0, CM084266_1_70743731.0, CM084268_1_46422.1, CM084265_1_64586071.1, CM084267_1_5161036.1, CM084264_1_68688357.1, CM084274_1_4795086.0, CM084272_1_1704343.0, CM084265_1_2047919.1, CM084275_1_1304711.0, CM084264_1_69861978.1, CM084277_1_36519423.1, CM084269_1_43525214.0, CM084265_1_59221291.1, CM084264_1_65945.0, CM084266_1_58087794.1, CM084266_1_67239927.0, CM084272_1_36474242.0"
"20","adapter_trim.F2-J125-pH8.bam","adapter_trim.F1-B21-pH8.bam","adapter_trim.F1-B7-pH8.bam","0.18","2, 4","3, 4","TRUE","CM084264_1_69294926.1, CM084276_1_38970477.0, CM084274_1_5046215.0, CM084276_1_2855915.1, CM084274_1_42293378.1, CM084277_1_30027057.1, CM084270_1_46587616.0, CM084273_1_31865682.1, CM084269_1_1567133.1, CM084264_1_73309406.0, CM084266_1_66377772.1, CM084272_1_18194192.0, CM084271_1_26325720.1, CM084276_1_38970482.0, CM084266_1_68319477.0, CM084269_1_47255823.0, CM084279_1_32652113.0, CM084265_1_71265241.0, CM084274_1_4726242.1, CM084268_1_3704024.1, CM084279_1_31075821.0, CM084265_1_1062091.1, CM084267_1_6420828.0, CM084264_1_48147317.1, CM084266_1_61737006.1, CM084277_1_30027057.0, CM084264_1_74035910.1, CM084269_1_45420488.1, CM084274_1_4723647.1, CM084275_1_1218645.0, CM084271_1_256611.0, CM084271_1_43849883.0, CM084275_1_38995359.1, CM084274_1_4709671.0, CM084271_1_44090335.0, CM084267_1_51248424.1, CM084270_1_1559802.0, CM084264_1_70181718.1, CM084267_1_2652515.0, CM084264_1_5215232.1"
"21","adapter_trim.F2-J127-pH8.bam","adapter_trim.F1-B15-pH8.bam","adapter_trim.F1-B7-pH8.bam","0.96","1, 4","3, 4","TRUE","CM084264_1_2738113.0, CM084266_1_69793931.0, CM084268_1_938570.1, CM084269_1_41809356.0, CM084277_1_29208395.0, CM084271_1_337313.0, CM084274_1_4695106.1, CM084271_1_11500090.0, CM084271_1_3814148.1, CM084277_1_30642880.1, CM084269_1_1526871.1, CM084274_1_11694583.0, CM084275_1_529161.0, CM084275_1_25388529.1, CM084273_1_32698906.1, CM084268_1_3702289.0, CM084276_1_38773493.0, CM084277_1_30631454.1, CM084270_1_4920935.1, CM084264_1_34294397.1, CM084267_1_1134553.1, CM084275_1_36059252.0, CM084267_1_6420915.0, CM084268_1_3704024.0, CM084276_1_1625292.0, CM084268_1_42089.1, CM084266_1_68322200.0, CM084271_1_43812187.0, CM084269_1_15823421.1, CM084271_1_337322.0, CM084264_1_74989689.0, CM084264_1_8098050.0, CM084265_1_72074244.0, CM084276_1_6150174.1, CM084277_1_6198930.0, CM084271_1_218835.0, CM084265_1_70974986.0, CM084272_1_33597692.1, CM084266_1_68659869.0, CM084276_1_38285696.1"
"22","adapter_trim.F2-J108-pH8.bam","adapter_trim.F1-B21-pH8.bam","adapter_trim.F1-B7-pH8.bam","1.02","2, 4","3, 4","TRUE","CM084269_1_43525189.1, CM084268_1_82411.1, CM084272_1_29972645.1, CM084268_1_28845823.1, CM084267_1_728194.0, CM084264_1_34303458.0, CM084277_1_29780093.0, CM084264_1_12084114.0, CM084266_1_66383710.1, CM084277_1_5803906.0, CM084266_1_64723748.0, CM084277_1_28144351.0, CM084272_1_11675288.1, CM084265_1_71899687.1, CM084268_1_282153.0, CM084264_1_69712159.1, CM084264_1_26777912.1, CM084270_1_4751834.1, CM084279_1_10147284.1, CM084266_1_25399242.0, CM084274_1_4795077.1, CM084265_1_65322091.0, CM084268_1_3691160.0, CM084264_1_74076720.1, CM084266_1_66377784.0, CM084273_1_31865208.1, CM084270_1_46587624.0, CM084264_1_72011634.1, CM084265_1_69915221.0, CM084267_1_9176045.0, CM084273_1_31862314.0, CM084266_1_69547380.1, CM084264_1_66439654.1, CM084274_1_4795482.0, CM084266_1_64164380.0, CM084275_1_29098652.0, CM084265_1_54591404.1, CM084272_1_18194192.0, CM084267_1_2104179.0, CM084268_1_1326515.1"
"23","adapter_trim.F2-J126-pH8.bam","adapter_trim.F1-B21-pH8.bam","adapter_trim.F1-B8-pH8.bam","0.83","2, 4","2","TRUE","CM084266_1_65576813.0, CM084278_1_16774412.1, CM084274_1_42855649.1, CM084279_1_31065257.1, CM084266_1_67097921.1, CM084265_1_58487819.1, CM084276_1_38772810.1, CM084278_1_281238.0, CM084265_1_68074592.0, CM084265_1_786811.0, CM084269_1_15812959.0, CM084273_1_32698886.0, CM084265_1_54595186.0, CM084266_1_69623578.1, CM084273_1_42253159.0, CM084277_1_5804933.1, CM084277_1_4875961.0, CM084264_1_69902963.0, CM084264_1_65422.1, CM084264_1_70188213.1, CM084268_1_49533758.0, CM084277_1_29208392.1, CM084269_1_15820188.0, CM084274_1_4863902.1, CM084265_1_2047919.0, CM084274_1_21933138.1, CM084273_1_7826703.0, CM084278_1_25832327.0, CM084271_1_26324168.0, CM084279_1_32915269.0, CM084265_1_71899241.0, CM084264_1_73349432.0, CM084272_1_33607000.0, CM084266_1_69141117.1, CM084264_1_73180493.0, CM084264_1_8233152.0, CM084267_1_9176045.1, CM084278_1_23547493.0, CM084270_1_10495977.0, CM084267_1_1134424.0"
