"","sire","dam","id","loci","n.loci","LLRdam","LLRsire","absLLRtotal","dam.batch","sire.batch","Fertilization_pairs"
"11","adapter_trim.F1-B1-pH8.bam","adapter_trim.F1-B20-pH8.bam","adapter_trim.F2-J205-pH7.bam","CM084264_1_70182858.0, CM084264_1_72117233.0, CM084274_1_4727151.1, CM084264_1_72054055.0, CM084276_1_1855843.0, CM084265_1_14403559.1, CM084272_1_29972645.0, CM084270_1_46587632.0, CM084270_1_9401006.0, CM084277_1_35287257.1, CM084271_1_44070313.1, CM084267_1_50994193.1, CM084265_1_68073022.0, CM084269_1_39737147.1, CM084273_1_33585263.1, CM084271_1_4574012.0, CM084274_1_4792130.1, CM084264_1_75278242.1, CM084277_1_30027552.0, CM084274_1_4730026.1, CM084274_1_4709677.1, CM084272_1_9069881.1, CM084267_1_8687374.1, CM084267_1_51000190.0, CM084278_1_279490.1, CM084278_1_22656620.0, CM084274_1_5566177.0, CM084267_1_4505277.1, CM084266_1_65576820.0, CM084267_1_52092644.0, CM084272_1_1726216.1, CM084268_1_9292474.0, CM084269_1_15812965.1, CM084269_1_43524068.1, CM084276_1_38772805.1","35","-0.39","-0.19","0.58","2","2, 4","TRUE"
"12","adapter_trim.F1-B1-pH8.bam","adapter_trim.F1-B21-pH8.bam","adapter_trim.F2-B18-pH7.bam","CM084267_1_52591726.0, CM084272_1_33617991.1, CM084271_1_44073395.1, CM084273_1_32683023.1, CM084278_1_20623588.0, CM084269_1_1556132.1, CM084272_1_18170761.0, CM084279_1_1062135.1, CM084276_1_37353162.0, CM084266_1_66383710.1, CM084265_1_64584031.0, CM084265_1_71899669.1, CM084279_1_10150672.0, CM084266_1_67239927.1, CM084278_1_23539431.1, CM084269_1_15823117.0, CM084279_1_1070264.0, CM084272_1_1311984.1, CM084276_1_4125650.0, CM084269_1_35627080.0, CM084265_1_790962.0, CM084265_1_68074592.0, CM084276_1_12385340.1, CM084276_1_2855158.1, CM084266_1_23321829.0, CM084274_1_4862958.0, CM084271_1_379038.1, CM084265_1_72636285.1, CM084264_1_66439568.0, CM084270_1_47077551.0, CM084266_1_71149025.0, CM084270_1_42355544.1, CM084276_1_2841302.1, CM084274_1_4709636.1, CM084265_1_71925486.1","35","-0.15","0.04","0.19","2, 4","2, 4","TRUE"
"13","adapter_trim.F1-B1-pH8.bam","adapter_trim.F1-B8-pH8.bam","adapter_trim.F2-J186-pH7.bam","CM084275_1_35720346.1, CM084276_1_1856643.0, CM084269_1_43524375.0, CM084271_1_274096.1, CM084274_1_4778496.0, CM084267_1_51033717.0, CM084268_1_28845446.1, CM084271_1_1033937.1, CM084269_1_43524393.1, CM084279_1_1196441.1, CM084266_1_46766313.0, CM084267_1_2646656.1, CM084269_1_4625304.0, CM084266_1_70396060.0, CM084269_1_42862704.1, CM084268_1_50681637.0, CM084264_1_73604722.0, CM084269_1_1580179.0, CM084264_1_73309412.1, CM084264_1_2738036.1, CM084269_1_35627205.1, CM084264_1_6151081.0, CM084271_1_43860417.0, CM084265_1_58036225.1, CM084278_1_281214.1, CM084265_1_70589365.1, CM084265_1_72986696.0, CM084267_1_1134553.1, CM084270_1_42355504.1, CM084265_1_71925202.0, CM084264_1_73152605.1, CM084270_1_19464591.0, CM084279_1_10147738.1, CM084266_1_68883042.1, CM084265_1_69007607.1","35","-0.2","0.01","0.21","1","2, 4","FALSE"
"14","adapter_trim.F1-B1-pH8.bam","adapter_trim.F1-B25-pH8.bam","adapter_trim.F2-J187-pH7.bam","CM084270_1_42345710.0, CM084271_1_44091713.1, CM084274_1_7310951.0, CM084274_1_4788638.0, CM084275_1_40519747.0, CM084275_1_66834.0, CM084271_1_290137.1, CM084269_1_1556935.1, CM084270_1_12307506.0, CM084268_1_3695238.1, CM084264_1_64874049.1, CM084268_1_28845522.0, CM084264_1_2740163.0, CM084273_1_31864421.0, CM084278_1_34806817.0, CM084268_1_50225498.0, CM084264_1_74191504.1, CM084272_1_18553651.0, CM084269_1_43525146.1, CM084267_1_51167096.1, CM084267_1_52593725.0, CM084265_1_70979988.1, CM084276_1_62221.1, CM084266_1_50301523.1, CM084265_1_59221155.1, CM084266_1_67235326.1, CM084276_1_38864870.0, CM084270_1_39395913.0, CM084279_1_31065250.0, CM084276_1_38072623.1, CM084278_1_23541775.1, CM084275_1_400262.1, CM084272_1_2073150.0, CM084269_1_4635071.1, CM084267_1_51242797.1","35","-0.13","0.1","0.23","3","2, 4","FALSE"
"15","adapter_trim.F1-B1-pH8.bam","adapter_trim.F1-B8-pH8.bam","adapter_trim.F2-J225-pH7.bam","CM084274_1_4869825.1, CM084272_1_18194972.1, CM084265_1_71828881.0, CM084271_1_43860497.0, CM084265_1_64735421.0, CM084271_1_43868201.0, CM084270_1_10495977.1, CM084264_1_70188213.0, CM084270_1_10495406.1, CM084264_1_34294652.1, CM084279_1_161440.1, CM084265_1_59221322.0, CM084274_1_4773522.1, CM084265_1_69230159.0, CM084268_1_1326648.1, CM084264_1_26771547.0, CM084278_1_4074395.1, CM084278_1_5144630.1, CM084269_1_1556935.0, CM084277_1_10417524.1, CM084277_1_30611507.1, CM084265_1_73061238.0, CM084274_1_5028297.0, CM084272_1_33515314.0, CM084264_1_71718001.1, CM084264_1_75278300.0, CM084279_1_10147216.0, CM084265_1_68869491.0, CM084265_1_19672164.1, CM084274_1_4869791.1, CM084269_1_46688892.0, CM084270_1_10496921.1, CM084264_1_34294033.0, CM084274_1_4694239.0, CM084275_1_25397304.1","35","-0.61","-0.44","1.05","1","2, 4","FALSE"
"16","adapter_trim.F1-B1-pH8.bam","adapter_trim.F1-B20-pH8.bam","adapter_trim.F2-J187-pH7.bam","CM084266_1_69623578.0, CM084279_1_1871842.0, CM084268_1_50679570.1, CM084267_1_11257262.1, CM084266_1_816291.0, CM084277_1_6198938.0, CM084266_1_58087045.1, CM084269_1_1544562.0, CM084266_1_68659587.1, CM084271_1_290137.1, CM084271_1_19655927.1, CM084265_1_59221309.1, CM084269_1_43524676.0, CM084266_1_1230887.0, CM084266_1_808035.0, CM084268_1_50790919.0, CM084275_1_661848.0, CM084270_1_46587607.1, CM084271_1_44134413.1, CM084271_1_19655226.0, CM084266_1_71317540.0, CM084276_1_38797638.1, CM084276_1_1847190.1, CM084266_1_58102684.0, CM084274_1_4792974.1, CM084269_1_1572991.1, CM084276_1_38117244.0, CM084269_1_43523945.0, CM084267_1_51000174.0, CM084268_1_28845336.1, CM084264_1_2740137.0, CM084265_1_68806425.1, CM084268_1_50202371.1, CM084276_1_38552504.1, CM084272_1_33515302.1","35","-0.28","0","0.28","2","2, 4","TRUE"
"17","adapter_trim.F1-B1-pH8.bam","adapter_trim.F1-B21-pH8.bam","adapter_trim.F2-J205-pH7.bam","CM084267_1_700114.0, CM084271_1_3819548.1, CM084264_1_73152605.1, CM084271_1_10301938.0, CM084264_1_66439628.1, CM084277_1_10417489.0, CM084271_1_26325707.1, CM084269_1_46733053.0, CM084266_1_23295280.1, CM084274_1_4796079.1, CM084264_1_75480216.1, CM084273_1_31865846.1, CM084276_1_25813402.1, CM084264_1_73152528.1, CM084267_1_2653035.1, CM084278_1_22667331.0, CM084265_1_65232929.0, CM084274_1_4694522.1, CM084266_1_70400231.0, CM084278_1_20623588.0, CM084266_1_68884692.1, CM084275_1_35722058.1, CM084272_1_33623932.0, CM084265_1_8361584.0, CM084272_1_36474160.1, CM084266_1_71149023.1, CM084272_1_2073141.0, CM084274_1_4694558.1, CM084271_1_10301897.0, CM084270_1_4921089.0, CM084274_1_4862784.1, CM084264_1_26777912.0, CM084278_1_8558512.1, CM084279_1_1062150.1, CM084275_1_35719374.1","35","-0.01","0.05","0.06","2, 4","2, 4","TRUE"
"18","adapter_trim.F1-B1-pH8.bam","adapter_trim.F1-B8-pH8.bam","adapter_trim.F2-J224-pH7.bam","CM084269_1_15809963.0, CM084271_1_10301938.1, CM084271_1_344606.0, CM084269_1_15817354.0, CM084269_1_43525348.0, CM084274_1_4868385.1, CM084265_1_1816569.1, CM084266_1_57889092.1, CM084274_1_4708735.1, CM084264_1_74721251.0, CM084277_1_29780116.0, CM084269_1_45423025.1, CM084264_1_74800241.0, CM084269_1_47265457.0, CM084276_1_38775920.0, CM084265_1_3130643.1, CM084264_1_73283219.0, CM084271_1_26332994.0, CM084269_1_15828545.0, CM084266_1_50301559.1, CM084267_1_9176202.1, CM084277_1_1868694.0, CM084271_1_44090310.1, CM084267_1_52591576.0, CM084279_1_929045.1, CM084267_1_52593725.1, CM084276_1_25813397.1, CM084269_1_43523893.1, CM084270_1_47076329.1, CM084269_1_43524375.1, CM084276_1_7202888.1, CM084269_1_43523897.1, CM084269_1_1563962.0, CM084267_1_2163720.1, CM084265_1_71265314.1","35","-0.12","-0.27","0.39","1","2, 4","FALSE"
"19","adapter_trim.F1-B1-pH8.bam","adapter_trim.F1-B20-pH8.bam","adapter_trim.F2-J186-pH7.bam","CM084278_1_4074311.0, CM084271_1_43849246.0, CM084264_1_8112672.1, CM084265_1_69916644.0, CM084272_1_1894337.0, CM084267_1_6420945.1, CM084265_1_14403550.0, CM084276_1_38285696.1, CM084272_1_18191577.1, CM084267_1_6420828.0, CM084268_1_24030546.1, CM084276_1_38559646.0, CM084272_1_43480818.0, CM084279_1_161386.1, CM084265_1_14403558.0, CM084275_1_38169332.1, CM084271_1_274033.1, CM084275_1_400249.1, CM084266_1_71166433.1, CM084279_1_10149547.0, CM084277_1_1869733.0, CM084264_1_69275359.1, CM084264_1_74800272.0, CM084268_1_28845522.1, CM084266_1_62460085.0, CM084264_1_74191504.0, CM084275_1_35722051.1, CM084278_1_15228737.0, CM084275_1_524618.0, CM084266_1_68659869.0, CM084265_1_68808047.0, CM084274_1_4795086.1, CM084274_1_42859668.1, CM084275_1_120888.1, CM084276_1_38558603.0","35","-0.18","-0.35","0.53","2","2, 4","TRUE"
"20","adapter_trim.F1-B10-pH8.bam","adapter_trim.F1-B15-pH8.bam","adapter_trim.F2-B19-pH7.bam","CM084271_1_10301897.0, CM084268_1_28855794.1, CM084267_1_52593751.1, CM084267_1_52092638.1, CM084267_1_6421491.1, CM084274_1_4727166.0, CM084265_1_64735421.1, CM084265_1_72636278.1, CM084271_1_44134607.1, CM084276_1_38788200.1, CM084275_1_25395465.1, CM084272_1_18188792.1, CM084270_1_4920935.1, CM084273_1_31862476.0, CM084278_1_25832327.0, CM084270_1_4921031.1, CM084269_1_43523950.1, CM084268_1_50681546.0, CM084276_1_4238124.1, CM084268_1_42863.1, CM084272_1_33454573.0, CM084277_1_31027256.0, CM084272_1_25266666.1, CM084269_1_15809861.1, CM084276_1_38864870.1, CM084272_1_23578669.0, CM084278_1_22667320.0, CM084274_1_4869974.1, CM084266_1_70400231.0, CM084267_1_5161043.0, CM084273_1_31863355.1, CM084276_1_38775936.1, CM084267_1_832157.1, CM084272_1_43469487.1, CM084265_1_71797896.1","35","-0.05","-0.48","0.53","1, 4","2","FALSE"
