"","id","dam","sire","absLLRtotal","Fertilization_pairs","loci"
"11","adapter_trim.F2-J64-pH75.bam","adapter_trim.F1-B17-pH75.bam","adapter_trim.F1-B1-pH75.bam",1,TRUE,"CM084279_1_1072330.0, CM084268_1_3691704.1, CM084264_1_70466154.0, CM084277_1_31027256.0, CM084271_1_39686056.1, CM084266_1_63195133.0, CM084274_1_12659015.0, CM084268_1_50321875.1, CM084272_1_11675265.0, CM084267_1_6421227.1, CM084266_1_69806294.0, CM084279_1_32666444.0, CM084276_1_38557410.1, CM084276_1_38773527.0, CM084277_1_30611564.1, CM084279_1_10156950.1, CM084265_1_73061238.0, CM084278_1_16774412.1, CM084264_1_8098035.0, CM084265_1_72992174.1, CM084276_1_25975836.1, CM084266_1_66377772.1, CM084265_1_66141830.1, CM084266_1_69547380.0, CM084276_1_38772810.0, CM084266_1_69052082.0, CM084277_1_29781979.0, CM084264_1_73927178.1, CM084268_1_28851946.0, CM084266_1_61737006.1"
"12","adapter_trim.F2-J61-pH75.bam","adapter_trim.F1-B16-pH75.bam","adapter_trim.F1-B1-pH75.bam",0.69,FALSE,"CM084270_1_2585592.1, CM084278_1_20623588.1, CM084278_1_20630020.0, CM084266_1_70706263.0, CM084271_1_3821267.0, CM084264_1_72075482.1, CM084278_1_5144747.0, CM084265_1_70974986.0, CM084275_1_38995359.1, CM084264_1_73931171.0, CM084279_1_31409578.1, CM084269_1_4628639.1, CM084271_1_290137.0, CM084267_1_5881762.0, CM084276_1_4125650.1, CM084266_1_69051080.0, CM084274_1_4726638.0, CM084279_1_1079183.0, CM084264_1_15064482.0, CM084266_1_66483855.1, CM084269_1_4625304.0, CM084264_1_61227529.1, CM084268_1_28845823.1, CM084271_1_43868181.1, CM084276_1_12399731.0, CM084272_1_44059306.0, CM084271_1_218855.1, CM084270_1_39395914.1, CM084275_1_2509950.0, CM084275_1_529178.0"
"13","adapter_trim.F2-J65-pH75.bam","adapter_trim.F1-B6-pH75.bam","adapter_trim.F1-B14-pH75.bam",0.74,TRUE,"CM084272_1_1891434.1, CM084266_1_69625521.0, CM084271_1_44086160.0, CM084265_1_66143673.1, CM084264_1_66522465.1, CM084275_1_328861.0, CM084275_1_25395479.0, CM084267_1_8687446.0, CM084265_1_976180.0, CM084269_1_1558052.1, CM084269_1_1567491.1, CM084272_1_33452076.1, CM084275_1_312842.1, CM084265_1_65233017.0, CM084266_1_70706235.0, CM084265_1_71265340.1, CM084267_1_52896264.1, CM084265_1_1816569.1, CM084267_1_8118654.1, CM084269_1_4628634.1, CM084269_1_45438470.0, CM084266_1_68661769.0, CM084269_1_15823106.1, CM084276_1_38960928.1, CM084272_1_18192676.0, CM084265_1_19670958.1, CM084269_1_46693817.1, CM084269_1_4635090.0, CM084266_1_58086157.1, CM084269_1_40338566.0"
"14","adapter_trim.F2-B14-pH75.bam","adapter_trim.F1-B16-pH75.bam","adapter_trim.F1-B14-pH75.bam",0.55,FALSE,"CM084269_1_1556132.0, CM084269_1_39737155.1, CM084266_1_70400233.1, CM084271_1_257176.1, CM084276_1_37144250.0, CM084268_1_49720454.0, CM084276_1_1855843.0, CM084268_1_1326519.1, CM084277_1_10628715.1, CM084270_1_46587632.1, CM084264_1_34294402.0, CM084269_1_35627068.0, CM084277_1_10628711.0, CM084277_1_30505537.1, CM084265_1_72078910.0, CM084279_1_32652116.0, CM084279_1_161458.1, CM084264_1_70175500.0, CM084278_1_22645215.1, CM084274_1_4715467.0, CM084273_1_268148.0, CM084270_1_46589386.0, CM084273_1_31865230.0, CM084277_1_10628425.1, CM084275_1_39776496.0, CM084278_1_20736228.1, CM084272_1_23578669.1, CM084266_1_23295949.0, CM084264_1_70355068.0, CM084264_1_73311139.0"
"15","adapter_trim.F2-B25-pH75.bam","adapter_trim.F1-B6-pH75.bam","adapter_trim.F1-B14-pH75.bam",1.13,TRUE,"CM084277_1_30629891.0, CM084265_1_59221322.1, CM084274_1_4793160.1, CM084265_1_71792056.1, CM084268_1_50225492.1, CM084265_1_72368245.1, CM084266_1_64164372.1, CM084265_1_59221275.1, CM084269_1_39737147.0, CM084270_1_35204451.1, CM084278_1_20858397.0, CM084266_1_25399242.0, CM084264_1_72118705.0, CM084279_1_32973101.1, CM084277_1_18535878.1, CM084277_1_10417524.0, CM084278_1_16774020.1, CM084265_1_73060616.0, CM084271_1_11500090.0, CM084277_1_30026693.0, CM084276_1_7202997.0, CM084271_1_3823416.1, CM084272_1_33603798.0, CM084276_1_38772790.0, CM084265_1_70589360.1, CM084273_1_42252907.1, CM084272_1_33616442.1, CM084265_1_72992173.1, CM084266_1_63468235.0, CM084273_1_31862762.0"
"16","adapter_trim.F2-J28-pH75.bam","adapter_trim.F1-B6-pH75.bam","adapter_trim.F1-B14-pH75.bam",0.89,TRUE,"CM084268_1_28845501.0, CM084272_1_11675265.0, CM084264_1_70175562.0, CM084276_1_2855158.1, CM084269_1_15799403.0, CM084277_1_30027552.1, CM084267_1_2081906.0, CM084276_1_62244.1, CM084278_1_16774412.1, CM084264_1_74076720.0, CM084266_1_64725843.1, CM084268_1_82411.0, CM084271_1_218855.1, CM084264_1_2740163.1, CM084274_1_4730203.1, CM084264_1_66439902.1, CM084275_1_327388.1, CM084274_1_7310951.1, CM084267_1_2163720.0, CM084277_1_29782028.0, CM084274_1_4730089.0, CM084265_1_71820726.0, CM084274_1_4696973.1, CM084276_1_37352348.1, CM084269_1_4635085.1, CM084265_1_71794141.1, CM084266_1_68320526.0, CM084271_1_43860422.0, CM084269_1_45423025.0, CM084278_1_15228710.0"
"17","adapter_trim.F2-B16-pH75.bam","adapter_trim.F1-B17-pH75.bam","adapter_trim.F1-B14-pH75.bam",0.62,TRUE,"CM084275_1_39502463.1, CM084277_1_29208305.1, CM084269_1_46689554.0, CM084275_1_25393266.0, CM084267_1_591197.1, CM084272_1_1308683.1, CM084272_1_11675265.1, CM084266_1_69314168.1, CM084277_1_10628711.1, CM084278_1_22667324.1, CM084269_1_15806965.0, CM084271_1_43868179.0, CM084274_1_4694263.0, CM084272_1_1327530.0, CM084279_1_31068246.0, CM084278_1_23540735.1, CM084267_1_832157.0, CM084271_1_218835.0, CM084269_1_12905562.1, CM084266_1_64002736.0, CM084270_1_8444534.1, CM084265_1_71820726.1, CM084276_1_37355346.1, CM084270_1_46588177.0, CM084278_1_4074299.1, CM084264_1_72912659.1, CM084264_1_71189798.0, CM084267_1_51248500.1, CM084277_1_30631457.1, CM084265_1_59221301.1"
"18","adapter_trim.F2-J11-pH75.bam","adapter_trim.F1-B6-pH75.bam","adapter_trim.F1-B14-pH75.bam",1.19,TRUE,"CM084278_1_277798.1, CM084266_1_57888742.1, CM084270_1_10495951.0, CM084268_1_50681662.1, CM084268_1_50679469.1, CM084269_1_4635012.1, CM084264_1_70355052.0, CM084268_1_42024.1, CM084265_1_71794444.0, CM084272_1_18194306.0, CM084276_1_1855851.0, CM084265_1_71265301.0, CM084265_1_68868203.0, CM084275_1_42592955.0, CM084269_1_1558052.0, CM084267_1_51000190.0, CM084264_1_65418.1, CM084279_1_32973101.0, CM084268_1_2832731.1, CM084274_1_4792130.1, CM084269_1_1567491.0, CM084269_1_35627054.1, CM084267_1_956424.0, CM084273_1_31862599.1, CM084270_1_46587616.1, CM084265_1_1118730.1, CM084275_1_1218645.1, CM084271_1_44070260.0, CM084266_1_66832562.0, CM084264_1_70471566.1"
"19","adapter_trim.F2-B19-pH75.bam","adapter_trim.F1-B6-pH75.bam","adapter_trim.F1-B14-pH75.bam",0.76,TRUE,"CM084266_1_57886153.0, CM084266_1_59356462.0, CM084264_1_34294033.1, CM084275_1_23096151.1, CM084270_1_8444546.1, CM084279_1_10150313.1, CM084271_1_218835.0, CM084265_1_71795197.0, CM084267_1_13231056.1, CM084271_1_44073395.1, CM084276_1_2874158.0, CM084266_1_68643487.1, CM084268_1_3691704.1, CM084267_1_51346515.1, CM084279_1_32973101.1, CM084277_1_6198938.0, CM084266_1_65576820.0, CM084269_1_40338578.1, CM084268_1_1326643.1, CM084277_1_36519423.0, CM084278_1_23536923.1, CM084271_1_44091708.1, CM084279_1_1072330.1, CM084264_1_68634780.1, CM084267_1_6421241.1, CM084269_1_43524068.1, CM084277_1_29780093.1, CM084275_1_29098881.1, CM084264_1_70175564.1, CM084270_1_8242309.0"
"20","adapter_trim.F2-J68-pH75.bam","adapter_trim.F1-B21-pH75.bam","adapter_trim.F1-B14-pH75.bam",0.71,TRUE,"CM084278_1_22644846.1, CM084278_1_5144630.1, CM084264_1_72054205.1, CM084265_1_70589360.1, CM084264_1_74191574.1, CM084272_1_43480818.1, CM084266_1_68320526.0, CM084264_1_68688356.1, CM084268_1_50202371.1, CM084274_1_4792256.0, CM084266_1_69806293.0, CM084270_1_8242343.0, CM084265_1_72071381.0, CM084264_1_69275359.1, CM084271_1_3816215.0, CM084276_1_38773525.1, CM084276_1_38552579.1, CM084268_1_1508049.1, CM084275_1_327918.1, CM084274_1_4727318.1, CM084276_1_37355346.0, CM084269_1_1558052.1, CM084265_1_70799357.0, CM084271_1_289999.1, CM084264_1_68685021.1, CM084278_1_5142968.1, CM084265_1_69004202.1, CM084266_1_62468799.0, CM084279_1_10147216.1, CM084272_1_33578227.1"
